ID_STA,ARRONDISSEMENT,NBR_PLA,X,Y,JURIDICTION,EMPLACEMENT,LOCATION,HEURES,HOURS,BOROUGH,Note_FR,Note_EN,Longitude,Latitude
1,LaSalle,150,292122,5032097.0186154,Municipale,"55, av. Dupras","55, av. Dupras",23h à 7h,11 p.m to 7 a.m,LaSalle,,,-73.6620215842,45.4286922709
2,Le Plateau-Mont-Royal,90,299335,5043043.0153853,Municipale,"3815, av. Calixa-Lavallée","3815, av. Calixa-Lavallée",22h à 7h,10 p.m to 7 a.m,Le Plateau-Mont-Royal,,,-73.5699631986,45.5272829764
3,Le Plateau-Mont-Royal,70,299138,5043732.0219048,Municipale,"4375, rue Cartier","4375, rue Cartier",22h à 7h,10 p.m to 7 a.m,Le Plateau-Mont-Royal,,,-73.5724931646,45.5334813463
4,Mercier - Hochelaga-Maisonneuve,485,300900,5047006.0179893,Municipale,"3000, rue Viau","3000, rue Viau",20h à 8h,8 p.m to 8 a.m,Mercier - Hochelaga-Maisonneuve,,,-73.5499595784,45.5629540153
5,Outremont,21,295683,5042541.0169204,Municipale,"Opposé du 940, av. Outremont","In face of 940, av. Outremont",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6167068632,45.5227276032
6,Outremont,9,296066,5042596.0222308,Municipale,"Nord du 779, av. de l'Épée","North of 779, av. de l'Épée",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6118050641,45.5232274657
7,Outremont,9,295917,5042529.0157618,Municipale,"Sud du 832, av. Bloomfield","South of 832, av. Bloomfield",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6137112139,45.5226226332
8,Outremont,13,296348,5042413.0145625,Municipale,Sud de l'avenue de l'Épée,South of avenue de l'Épée,21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6081919957,45.5215841687
9,Outremont,15,296314,5042382.0215704,Municipale,"Nord du 620, av. de l'Épée","North of 620, av. de l'Épée",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6086266840,45.5213048688
10,Outremont,10,296282,5042299.0135564,Municipale,"Sud du 628, av. Bloomfield","South of 628, av. Bloomfield",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6090348627,45.5205575404
11,Outremont,18,296183,5042105.014827,Municipale,"Ouest du 1335, av. Bernard","West of 1335, av. Bernard",21h à 7h,9 p.m to 7 a.m,Outremont,,,-73.6102987013,45.5188106481
